iter	Passed	Remaining
560	2147	5508
561	2150	5503
562	2154	5499
563	2158	5494
564	2161	5489
565	2164	5485
566	2168	5480
567	2172	5476
568	2175	5471
569	2178	5466
570	2182	5461
571	2185	5457
572	2189	5452
573	2193	5448
574	2197	5445
575	2201	5441
576	2204	5436
577	2208	5433
578	2211	5428
579	2215	5423
580	2218	5419
581	2222	5415
582	2225	5410
583	2229	5405
584	2233	5401
585	2236	5397
586	2240	5393
587	2243	5388
588	2247	5383
589	2250	5379
590	2255	5376
591	2259	5373
592	2264	5371
593	2268	5369
594	2273	5369
595	2278	5367
596	2282	5364
597	2286	5361
598	2290	5357
599	2294	5353
600	2298	5350
601	2302	5346
602	2305	5342
603	2310	5339
604	2314	5336
605	2318	5333
606	2322	5330
607	2326	5327
608	2330	5322
609	2334	5318
610	2337	5314
611	2341	5310
612	2344	5305
613	2349	5302
614	2352	5298
615	2356	5293
616	2359	5289
617	2363	5286
618	2367	5281
619	2371	5277
620	2374	5273
621	2378	5269
622	2382	5265
623	2386	5262
624	2390	5258
625	2393	5254
626	2397	5249
627	2400	5245
628	2404	5240
629	2407	5236
630	2411	5232
631	2415	5227
632	2418	5223
633	2422	5218
634	2425	5214
635	2429	5209
636	2432	5205
637	2436	5201
638	2439	5196
639	2443	5192
640	2447	5189
641	2451	5184
642	2454	5180
643	2458	5176
644	2461	5171
645	2465	5167
646	2468	5162
647	2472	5158
648	2476	5154
649	2480	5150
650	2483	5147
651	2487	5143
652	2491	5138
653	2494	5134
654	2498	5130
655	2501	5125
656	2505	5121
657	2508	5116
658	2512	5112
659	2515	5107
660	2519	5103
661	2522	5099
662	2526	5094
663	2529	5090
664	2533	5085
665	2537	5081
666	2540	5077
667	2544	5072
668	2547	5068
669	2551	5064
670	2554	5059
671	2558	5055
672	2561	5051
673	2565	5046
674	2568	5042
675	2572	5038
676	2575	5034
677	2579	5030
678	2583	5026
679	2587	5023
680	2591	5019
681	2594	5014
682	2598	5010
683	2602	5006
684	2605	5002
685	2609	4998
686	2613	4995
687	2617	4991
688	2620	4986
689	2624	4982
690	2628	4978
691	2632	4974
692	2635	4971
693	2639	4967
694	2643	4964
695	2649	4963
696	2653	4959
697	2656	4955
698	2660	4951
699	2663	4946
700	2667	4942
701	2671	4939
702	2675	4935
703	2678	4931
704	2682	4928
705	2686	4924
706	2690	4920
707	2694	4917
708	2698	4913
709	2702	4910
710	2706	4906
711	2709	4902
712	2713	4897
713	2716	4893
714	2720	4889
715	2724	4885
716	2727	4881
717	2731	4876
718	2734	4872
719	2738	4868
720	2741	4863
721	2745	4859
722	2749	4855
723	2752	4851
724	2757	4849
725	2761	4846
726	2765	4842
727	2769	4838
728	2772	4834
729	2776	4830
730	2779	4825
731	2783	4821
732	2787	4818
733	2790	4813
734	2794	4809
735	2798	4805
736	2801	4801
737	2805	4797
738	2809	4793
739	2812	4788
740	2816	4784
741	2819	4780
742	2823	4777
743	2827	4773
744	2831	4769
745	2834	4764
746	2838	4760
747	2841	4756
748	2845	4751
749	2848	4748
750	2852	4744
751	2856	4741
752	2860	4737
753	2865	4734
754	2869	4732
755	2874	4730
756	2879	4728
757	2884	4726
758	2889	4724
759	2893	4721
760	2897	4718
761	2901	4714
762	2905	4710
763	2909	4707
764	2913	4703
765	2916	4699
766	2920	4694
767	2923	4690
768	2927	4687
769	2931	4682
770	2935	4678
771	2939	4676
772	2944	4674
773	2950	4672
774	2955	4671
775	2960	4669
776	2965	4667
777	2970	4665
778	2974	4662
779	2979	4659
780	2983	4656
781	2987	4652
782	2990	4648
783	2994	4644
784	2997	4640
785	3001	4636
786	3004	4631
787	3008	4627
788	3011	4622
789	3015	4618
790	3019	4614
791	3022	4610
792	3026	4606
793	3029	4601
794	3033	4597
795	3036	4593
796	3040	4589
797	3043	4585
798	3047	4580
799	3051	4576
800	3054	4572
801	3057	4567
802	3061	4563
803	3065	4559
804	3068	4555
805	3072	4551
806	3076	4547
807	3079	4542
808	3082	4538
809	3086	4534
810	3089	4529
811	3093	4525
812	3097	4522
813	3101	4518
814	3104	4514
815	3108	4509
816	3112	4506
817	3115	4502
818	3119	4497
819	3122	4493
820	3126	4490
821	3130	4486
822	3134	4482
823	3138	4478
824	3142	4475
825	3146	4472
826	3150	4469
827	3154	4465
828	3158	4462
829	3163	4459
830	3167	4455
831	3170	4451
832	3174	4447
833	3178	4443
834	3182	4439
835	3185	4435
836	3189	4431
837	3192	4427
838	3196	4423
839	3199	4418
840	3203	4415
841	3207	4411
842	3211	4407
843	3214	4403
844	3218	4399
845	3222	4395
846	3226	4391
847	3229	4387
848	3233	4384
849	3237	4379
